order,file,timeline_in,timeline_out,duration,speed,source,source_in,crop_center_y,hard_cut
0,clips/00_drone.mp4,0.00,5.50,5.50,1.00,build/aerial/drone.mp4,8.50,0.42,no
1,clips/01_drone.mp4,5.50,10.50,5.00,1.00,build/aerial/drone.mp4,29.50,0.42,no
2,clips/02_drone.mp4,10.50,16.20,5.70,1.00,build/aerial/drone.mp4,95.50,0.42,no
3,clips/03_drone.mp4,16.20,20.50,4.30,1.00,build/aerial/drone.mp4,116.80,0.42,no
4,clips/04_cefcu_workout.mp4,20.50,25.00,4.50,1.00,build/user/u4.mov,0.20,0.50,no
5,clips/05_summer_cefcu.mp4,25.00,29.00,4.00,1.00,build/tt/7652790943145299230.mp4,0.30,0.38,no
6,clips/06_cefcu_workout.mp4,29.00,33.00,4.00,1.00,build/user/u4.mov,16.50,0.46,no
7,clips/07_cefcu_workout.mp4,33.00,37.40,4.40,1.00,build/user/u4.mov,20.80,0.46,no
8,clips/08_summer_cefcu.mp4,37.40,41.40,4.00,1.00,build/tt/7652790943145299230.mp4,10.50,0.46,no
9,clips/09_gamewinner_ball.mp4,41.40,42.35,0.95,1.00,build/clips/48282239.mp4,17.00,0.42,yes
10,clips/10_bench_eruption.mp4,42.35,46.50,4.15,0.66,build/user/u2.mov,0.00,0.50,yes
11,clips/11_celebration_court.mp4,46.50,51.00,4.50,0.76,build/user/u1.mov,0.00,0.48,no
12,clips/12_celebration_court.mp4,51.00,55.00,4.00,0.78,build/user/u1.mov,3.60,0.48,no
13,clips/13_huddle.mp4,55.00,58.60,3.60,0.78,build/user/u5.mov,0.00,0.52,no
14,clips/14_celebration_court.mp4,58.60,62.10,3.50,0.78,build/user/u1.mov,6.90,0.48,no
15,clips/15_handshake_lockerroom.mp4,62.10,63.90,1.80,0.36,build/user/u3.mov,0.86,0.50,no
16,clips/16_huddle.mp4,63.90,69.00,5.10,0.46,build/user/u5.mov,1.40,0.52,no
17,clips/17_cefcu_workout.mp4,69.00,73.50,4.50,1.00,build/user/u4.mov,4.80,0.50,no
18,clips/18_cefcu_workout.mp4,73.50,77.50,4.00,1.00,build/user/u4.mov,25.50,0.48,no
19,clips/19_cefcu_workout.mp4,77.50,81.50,4.00,1.00,build/user/u4.mov,29.80,0.46,no
20,clips/20_summer_cefcu.mp4,81.50,86.20,4.70,1.00,build/tt/7652790943145299230.mp4,26.50,0.46,no
21,clips/21_bench_eruption.mp4,86.20,89.80,3.60,0.60,build/user/u2.mov,0.60,0.50,no
22,clips/22_celebration_court.mp4,89.80,95.50,5.70,0.68,build/user/u1.mov,0.00,0.48,no
23,clips/23_cefcu_workout.mp4,95.50,100.00,4.50,1.00,build/user/u4.mov,13.80,0.48,no
24,clips/24_huddle.mp4,100.00,104.00,4.00,0.85,build/user/u5.mov,0.20,0.52,no
